node_id,media_id,file_id,title,model,file_uri,download_status,document_file,hocr_file
1014,,,Spontaneous Living - Or How Never to be Tired,Paged Content,,Success,,
1017,1017.0,2887.0,Spontaneous Living - Or How Never to be Tired Page 1,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1017/2887/OBJ.0_933.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1017/2887/OBJ.0_933.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1017/2887/OBJ.0_933.html
1018,1018.0,2890.0,Spontaneous Living - Or How Never to be Tired Page 2,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1018/2890/OBJ.0_934.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1018/2890/OBJ.0_934.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1018/2890/OBJ.0_934.html
1016,1016.0,2884.0,Spontaneous Living - Or How Never to be Tired Page 3,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1016/2884/OBJ.0_932.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1016/2884/OBJ.0_932.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1016/2884/OBJ.0_932.html
1015,1015.0,2881.0,Spontaneous Living - Or How Never to be Tired Page 4,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1015/2881/OBJ.0_931.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1015/2881/OBJ.0_931.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1014/1015/2881/OBJ.0_931.html
1022,,,"Letter from Dino, Emmanuella, & Marco Antonio",Paged Content,,Success,,
1024,1024.0,2906.0,"Letter from Dino, Emmanuella, &amp; Marco Antonio Page 1",Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1024/2906/OBJ.0_939.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1024/2906/OBJ.0_939.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1024/2906/OBJ.0_939.html
1023,1023.0,2903.0,"Letter from Dino, Emmanuella, &amp; Marco Antonio Page 2",Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1023/2903/OBJ.0_938.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1023/2903/OBJ.0_938.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1022/1023/2903/OBJ.0_938.html
1351,,,Stringing Along,Paged Content,,Success,,
1352,1352.0,3814.0,Stringing Along Page 1,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1352/3814/OBJ.0_1228.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1352/3814/OBJ.0_1228.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1352/3814/OBJ.0_1228.html
1361,1361.0,3841.0,Stringing Along Page 2,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1361/3841/OBJ.0_1237.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1361/3841/OBJ.0_1237.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1361/3841/OBJ.0_1237.html
1362,1362.0,3844.0,Stringing Along Page 3,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1362/3844/OBJ.0_1238.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1362/3844/OBJ.0_1238.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1362/3844/OBJ.0_1238.html
1363,1363.0,3847.0,Stringing Along Page 4,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1363/3847/OBJ.0_1239.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1363/3847/OBJ.0_1239.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1363/3847/OBJ.0_1239.html
1364,1364.0,3850.0,Stringing Along Page 5,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1364/3850/OBJ.0_1240.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1364/3850/OBJ.0_1240.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1364/3850/OBJ.0_1240.html
1365,1365.0,3853.0,Stringing Along Page 6,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1365/3853/OBJ.0_1241.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1365/3853/OBJ.0_1241.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1365/3853/OBJ.0_1241.html
1366,1366.0,3856.0,Stringing Along Page 7,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1366/3856/OBJ.0_1242.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1366/3856/OBJ.0_1242.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1366/3856/OBJ.0_1242.html
1367,1367.0,3859.0,Stringing Along Page 8,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1367/3859/OBJ.0_1243.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1367/3859/OBJ.0_1243.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1367/3859/OBJ.0_1243.html
1368,1368.0,3862.0,Stringing Along Page 9,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1368/3862/OBJ.0_1244.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1368/3862/OBJ.0_1244.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1368/3862/OBJ.0_1244.html
1353,1353.0,3817.0,Stringing Along Page 10,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1353/3817/OBJ.0_1229.tif,True,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1353/3817/OBJ.0_1229.json,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//1351/1353/3817/OBJ.0_1229.html
